Price,District,City,Town,Type,EnergyCertificate,GrossArea,TotalArea,Parking,HasParking,Floor,ConstructionYear,EnergyEfficiencyLevel,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
162000.0,Porto,Paredes,Rebordosa,Apartment,C,,106.0,1.0,True,4th Floor,2003.0,,,,True,,3.0,,,,81.0,,,2.0
350000.0,Porto,Maia,Pedrouços,Apartment,B,162.0,142.0,1.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,142.0,,,2.0
380000.0,Porto,Maia,Pedrouços,Apartment,B-,160.0,142.0,1.0,True,1st Floor,2023.0,,,,True,,3.0,,,,142.0,,,2.0
445000.0,Porto,Porto,Ramalde,Apartment,,,154.0,2.0,True,1st Floor,,,,,True,,2.0,,,,122.0,,,1.0
545000.0,Porto,Porto,Ramalde,Apartment,,,154.0,2.0,True,1st Floor,,,,,True,,3.0,,,,122.0,,,2.0
445000.0,Porto,Porto,Ramalde,Apartment,,,155.0,2.0,True,2nd Floor,,,,,True,,2.0,,,,122.0,,,2.0
545000.0,Porto,Porto,Ramalde,Apartment,,,171.0,2.0,True,2nd Floor,,,,,True,,3.0,,,,152.0,,,2.0
545000.0,Porto,Porto,Ramalde,Apartment,,,171.0,2.0,True,3rd Floor,,,,,True,,3.0,,,,152.0,,,2.0
540000.0,Porto,Porto,Ramalde,Apartment,,,157.0,2.0,True,Ground Floor,,,,,True,,3.0,,,,157.0,,,2.0
560000.0,Porto,Porto,Ramalde,Apartment,,,151.0,2.0,True,Ground Floor,,,,,True,,3.0,,,,151.0,,,2.0
545000.0,Porto,Porto,Ramalde,Apartment,,,196.0,1.0,True,1st Floor,,,,,True,,2.0,,,,114.0,,,2.0
545000.0,Porto,Porto,Ramalde,Apartment,,,196.0,2.0,True,1st Floor,,,,,True,,3.0,,,,152.0,,,2.0
545000.0,Porto,Porto,Ramalde,Apartment,,,196.0,1.0,True,2nd Floor,,,,,True,,2.0,,,,114.0,,,2.0
545000.0,Porto,Porto,Ramalde,Apartment,,,196.0,1.0,True,3rd Floor,,,,,True,,2.0,,,,114.0,,,2.0
360500.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,,121.0,90.0,0.0,False,Ground Floor,2023.0,,,,False,,2.0,,,,90.0,,,1.0
222500.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,,50.0,50.0,0.0,False,Ground Floor,2023.0,,,,False,,1.0,,,,50.0,,,1.0
445000.0,Porto,Porto,Ramalde,Apartment,,,174.0,1.0,True,Ground Floor,,,,,True,,2.0,,,,102.0,,,1.0
635000.0,Porto,Porto,Ramalde,Apartment,A,,170.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,154.0,,,3.0
274990.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,87.0,78.0,0.0,False,2nd Floor,1965.0,,,,False,,2.0,,,,78.0,,,2.0
285000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,,167.0,0.0,False,1st Floor,1988.0,,,,True,,2.0,,,,86.0,,,2.0
280000.0,Porto,Vila Nova de Gaia,Mafamude e Vilar do Paraíso,Apartment,A+,,107.0,1.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,107.0,,,3.0
230000.0,Porto,Gondomar,Fânzeres e São Pedro da Cova,Apartment,A+,,116.0,1.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,105.0,,,3.0
635000.0,Porto,Porto,Ramalde,Apartment,A,,167.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,150.0,,,3.0
645000.0,Porto,Porto,Ramalde,Apartment,A,,179.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,142.0,,,3.0
810000.0,Porto,Porto,Ramalde,Apartment,A,,189.0,2.0,True,6th Floor,2023.0,,,,True,,4.0,,,,172.0,,,3.0
435000.0,Porto,Maia,Cidade da Maia,Apartment,,170.0,134.0,2.0,True,5th Floor,2023.0,,,,True,,3.0,,,,134.0,,,3.0
460000.0,Porto,Maia,Cidade da Maia,Apartment,,205.0,143.0,2.0,True,6th Floor,2023.0,,,,True,,3.0,,,,143.0,,,3.0
445000.0,Porto,Maia,Cidade da Maia,Apartment,,176.0,134.0,2.0,True,6th Floor,2023.0,,,,True,,3.0,,,,134.0,,,3.0
345000.0,Porto,Maia,Cidade da Maia,Apartment,A,142.0,111.0,2.0,True,5th Floor,2023.0,,,,True,,2.0,,,,111.0,,,2.0
249000.0,Porto,Póvoa de Varzim,"Aver-o-Mar, Amorim e Terroso",Apartment,E,133.0,118.0,1.0,True,1st Floor,1992.0,,,,True,,3.0,,,,106.0,,,2.0
451000.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,,120.0,120.0,0.0,False,1st Floor,2023.0,,,,False,,2.0,,,,120.0,,,1.0
430000.0,Porto,Maia,Cidade da Maia,Apartment,A,164.0,134.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,134.0,,,3.0
345000.0,Porto,Maia,Cidade da Maia,Apartment,A,82.0,60.0,1.0,True,4th Floor,2023.0,,,,True,,1.0,,,,60.0,,,2.0
425000.0,Porto,Maia,Cidade da Maia,Apartment,,141.0,111.0,2.0,True,4th Floor,2023.0,,,,True,,2.0,,,,111.0,,,2.0
425000.0,Porto,Maia,Cidade da Maia,Apartment,,164.0,134.0,2.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,134.0,,,3.0
730000.0,Porto,Porto,Ramalde,Apartment,A,,170.0,2.0,True,6th Floor,2023.0,,,,True,,3.0,,,,154.0,,,4.0
740000.0,Porto,Porto,Ramalde,Apartment,A,,170.0,2.0,True,7th Floor,2023.0,,,,True,,3.0,,,,154.0,,,4.0
760000.0,Porto,Porto,Ramalde,Apartment,A,,179.0,2.0,True,7th Floor,2023.0,,,,True,,3.0,,,,142.0,,,4.0
164500.0,Porto,Gondomar,Fânzeres e São Pedro da Cova,Apartment,D,95.0,85.0,1.0,True,4th Floor,2002.0,,,,True,,3.0,,,,85.0,,,2.0
230000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,D,,54.0,0.0,False,2nd Floor,1983.0,,,,False,,1.0,,,,48.0,,,1.0
435000.0,Porto,Maia,Cidade da Maia,Apartment,,187.0,134.0,1.0,True,1st Floor,2023.0,,,,True,,3.0,,,,134.0,,,3.0
345000.0,Porto,Maia,Cidade da Maia,Apartment,,165.0,111.0,2.0,True,1st Floor,2023.0,,,,True,,2.0,,,,111.0,,,2.0
315900.0,Porto,Maia,Cidade da Maia,Apartment,,142.0,111.0,2.0,True,2nd Floor,2023.0,,,,True,,2.0,,,,111.0,,,2.0
399900.0,Porto,Maia,Cidade da Maia,Apartment,,166.0,134.0,2.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,134.0,,,3.0
345000.0,Porto,Maia,Cidade da Maia,Apartment,,142.0,111.0,2.0,True,3rd Floor,2023.0,,,,True,,2.0,,,,111.0,,,2.0
300000.0,Porto,Maia,Pedrouços,Apartment,B-,132.0,117.0,1.0,True,3rd Floor,2023.0,,,,True,,2.0,,,,117.0,,,2.0
295000.0,Porto,Maia,Pedrouços,Apartment,,132.0,117.0,1.0,True,3rd Floor,2023.0,,,,True,,2.0,,,,117.0,,,2.0
320000.0,Porto,Maia,Pedrouços,Apartment,B,133.0,117.0,1.0,True,2nd Floor,2023.0,,,,True,,2.0,,,,133.0,,,2.0
320000.0,Porto,Maia,Pedrouços,Apartment,B,134.0,117.0,1.0,True,2nd Floor,2023.0,,,,True,,2.0,,,,117.0,,,2.0
275000.0,Porto,Maia,Pedrouços,Apartment,B,159.0,142.0,1.0,True,1st Floor,2023.0,,,,True,,2.0,,,,142.0,,,2.0
390000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,B-,,102.0,1.0,True,Basement Level,1986.0,,,,False,,1.0,,,,102.0,,,1.0
250000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,C,66.0,64.0,1.0,True,1st Floor,1988.0,,,,True,,2.0,,,,64.0,,,1.0
310000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,B-,,64.0,1.0,True,Basement Level,1986.0,,,,False,,1.0,,,,64.0,,,1.0
420000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,B-,,100.0,1.0,True,Basement Level,1986.0,,,,False,,2.0,,,,100.0,,,1.0
420000.0,Porto,Porto,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Apartment,B-,,98.0,1.0,True,Basement Level,1986.0,,,,False,,2.0,,,,98.0,,,1.0
